單字	詞性	中文解釋	例句
digest	n.	摘要	My favorite magazine is Reader's _____.
digest	v.	消化	You should chew your food thoroughly so that it can be _____ easily.
disaster	n.	災難	It is almost impossible for humans to predict natural _____.
district	n.	區域	Alan lived close to the shopping _____ of the town.
enormous	adj.	巨大的	Bruce lost an _____ sum of money because of bad investments.
intellectual	adj.	智力的	To have more _____ powers, you must read more.
intellectual	n.	知識分子	Many scholars and _____ attended the conference on educational reform.
interaction	n.	互動	The _____ between the workers and the management is quite important.
magnetic	adj.	磁性的，有吸引力的	It is believed that migratory birds can sense the _____ field of the Earth and thus are able to find their way on their seasonal movements.
participation	n.	參與	Through active _____ in class discussions, students can learn to express their own opinions.
portray	v.	描繪	The award-winning writer _____ life in the country vividly.
primitive	adj.	原始的	Some _____ tools have been found underground.
privilege	n.	特權	In ancient times, only the nobles could enjoy the _____ of education.
scoop	n.	勺子	Two _____ of ice cream, please.
scoop	v.	舀	The crew were desperately busy _____ out the water from the sinking ship.
shelter	n.	庇護所	Those homeless children stayed temporarily in the _____.
shelter	v.	庇護	Andy was arrested for _____ the wanted man.
visual	adj.	視覺的	Using _____ aids is a good way to make your speech clearer and more memorable.
visualize	v.	想像，使具象化	Can you _____ what you will be like in ten years?
acid	n.	酸	High concentration of vinegar is a strongly corrosive _____.
acid	adj.	酸的	Sugar-free lemonade is quite _____.
bond	n.	聯結，關係	There is a close _____ between the dog and its master.
bond	v.	建立關係，黏合	Sharon used the glue to _____ the photo to the wall.
dispute	n.	爭論	The _____ over the construction of the new chemical factory seems never-ending.
dispute	v.	爭論	Whether the educational system should be reformed is a topic that has been hotly _____ recently.
drill	n.	鑽孔機，反覆練習	Many children are afraid of the sound of a dentist's _____.
drill	v.	鑽孔，反覆訓練	The woodpecker _____ some holes in the wood in search of food.
intensity	n.	強度	We are amazed at the _____ of the artist's emotions.
interfere	v.	干涉	Jacob accused me of _____ in his private affairs.
manual	n.	手冊	Vera read the instruction _____ carefully before she operated the machine.
manual	adj.	手工的	Bruce will replace the _____ machine with an automatic one.
scratch	v.	抓，搔癢	Yvonne kept _____ the mosquito bites on her legs.
sculpture	n.	雕塑	The Museum of Modern Art displays some interesting _____.
tribal	adj.	部落的	The _____ chiefs were invited to discuss the issue of wildlife conservation.
academic	adj.	學術的	Many college students prefer to buy _____ books from secondhand bookstores.
ensure	v.	確保	Please _____ that all the students have got on the tour bus before you set off for the next destination.
explosion	n.	爆炸	The huge _____ of the bombs could be heard in the distance.
facial	adj.	臉部的	From her father's _____ expressions, Dana could tell that he was very disappointed.
minimum	n.	最小值	The project will take a _____ of ten days.
polish	n.	擦亮劑，光澤	Andy gave his shoes a _____ before going to work this morning.
polish	v.	擦亮	Zoe spent the entire afternoon _____ the floor carefully.
precise	adj.	精確的	Sonar is often used to pinpoint the _____ location of schools of fish.
volunteer	n.	志工	The retired diplomat works in the school as a _____ to help those with reading difficulties.
volunteer	v.	自願	The kind man _____ to help those in need in return for the help he had received in the past.
acquire	v.	獲得	Kyle managed to _____ the out-of-print book after a long search.
device	n.	裝置	With the advances in technology, many clever electronic and medical _____ are introduced to the market.
distribute	v.	分發	The church _____ food and clothing to the poor.
electronics	n.	電子學，電子設備	Ronan decided to major in _____ in college.
expose	v.	暴露	Firefighters are often _____ to danger.
fame	n.	名聲	The pop singer rose to _____ as soon as his first album was released.
formation	n.	形成，隊形	After years of war, the _____ of the new government seems to bring people some hope.
generosity	n.	慷慨	The superstar's profound _____ to the poor has won her the title "the kindest woman on Earth."
submarine	adj.	海底的	Students are watching a video about how _____ cables are laid under the sea.
virus	n.	病毒	People infected with the HIV _____ are forbidden to donate blood.
adapt	v.	適應，改編	It usually takes me one month to _____ to a new environment.
adaptable	adj.	能適應的	Cockroaches are _____ to a wide range of environments.
concentration	n.	專心，集中	When playing tennis, you should have all your _____ on the ball.
construct	v.	建造	The high-rise building is _____ of steel and concrete.
content	n.	內容	Although the novel is selling well, I think it lacks _____.
content	adj.	滿足的	Ed, who has high expectations of himself, isn't _____ with his first live performance.
graduation	n.	畢業	After _____ from college, Sean went to Singapore to work for the sake of a higher salary.
invade	v.	入侵	The troops planned to _____ tonight.
invention	n.	發明	With the _____ of the Internet, we can easily connect with people around the world.
manufacture	n.	製造	Recycled materials are used in the _____ of various products such as shoes, clothes, and even stadium seats.
remarkable	adj.	卓越的，非凡的	With great effort, David made _____ progress in English.
remarkably	adv.	卓越地，非凡地	Helen performed _____ well in the speech contest.
secure	v.	獲得，使安全	Naomi worked so hard to _____ the top in the team.
secure	adj.	安全的	Saving money makes Maya feel _____ about the future.
tortoise	n.	陸龜	Unlike many turtles, most _____ live in dry regions.
website	n.	網站	Please visit our _____ to get more information about the products we sell.
aggressive	adj.	侵略性的，積極的	Some dogs are _____ by nature.
alternative	adj.	替代的	There is no _____ means of transportation to the town except the bus.
diversity	n.	多樣性	Singapore is known for its cultural and linguistic _____.
elastic	adj.	有彈性的	Wearing pants made of _____ materials offers more comfort when you do exercise.
elastic	n.	鬆緊帶	Claire used a piece of _____ to make a belt loop.
encounter	n.	相遇，遭遇	Wilson had an _____ with his uncle during his flight to Sydney.
grateful	adj.	感激的	Sandy is _____ for all her parents have done for her.
identify	v.	辨認	The experienced police officer successfully _____ the beggar as the murderer.
invasion	n.	入侵	The Nazi _____ of Poland led to the outbreak of World War II.
marathon	n.	馬拉松	Albert broke his own record in the _____ last month.
opera	n.	歌劇	Elaine and her family are going to watch an _____ tonight.
professional	adj.	專業的	Richard is a _____ photographer, who has taken many great photos.
professional	n.	專業人士	You should consult with a health _____ before taking these supplements.
profitable	adj.	有利潤的	The publishing business is not highly _____ because few people want to buy paper books now.
proposal	n.	提案	Eddie's _____ was turned down because few people agreed on it.
remedy	n.	治療法，補救辦法	An effective _____ for the rare disease has not been discovered so far.
remedy	v.	補救，治療	Sammy tried to find a way to _____ the problem.
spiritual	adj.	精神的	The Bible brings many people _____ comfort in times of sorrow.
split	v.	分裂，劈開	Lightning _____ the trunk in two.
split	n.	分裂，裂痕	The new policy has caused a _____ between the opposition and the government.
sympathetic	adj.	有同情心的	We are _____ to those who lost their families in the natural disasters.
