單字	詞性	中文解釋	例句
razor	n.	刮鬍刀	Brian is shaving his beard with an electric _____.
remote	adj.	遙遠的，偏僻的	Nick lives in a _____ village far from the city.
republic	n.	共和國	The _____ of China is a democratic country.
security	n.	安全，保安	The museum tightened _____ when the president visited.
semester	n.	學期	The first _____ lasts from this September to next January.
shortly	adv.	不久，馬上	Usually lightning is _____ followed by thunder.
summit	n.	山頂，頂峰	After climbing the mountain for hours, we finally reached its _____.
violence	n.	暴力	It is unwise to use _____ to solve problems.
wheat	n.	小麥	The farm workers are harvesting the _____ on the fields.
advantage	n.	優點，優勢	Being tall is an _____ for a basketball player.
announce	v.	宣布	The boss _____ the new project to his employees.
announcement	n.	宣布，公告	The government just made an _____ that there would be an increase in the fuel tax.
apron	n.	圍裙	My father always wears an _____ when cooking.
aside	adv.	在旁邊，到旁邊	Ann stepped _____ to make way for an old lady.
chest	n.	胸膛	Logan saw a doctor because he had _____ pains.
citizen	n.	公民	Mr. Lin has applied to become a Polish _____.
compete	v.	競爭	Oliver has to _____ with other candidates for the job.
complaint	n.	抱怨	John made a _____ to the manager about the waiter's rude behavior.
credit	n.	賒帳，信用	Mr. Wang bought the new house on _____.
credit	v.	歸功於	Samuel _____ his success to his wife.
doubtful	adj.	懷疑的	The manager was _____ about Gail's ability to run the big project.
drain	v.	排出，使流出	The cook _____ the dumplings thoroughly.
drain	n.	排水管，下水道	Vicky dropped her car key down the _____ by accident.
flavor	n.	味道，風味	Garlic and ginger are usually used to give _____ to dishes.
flavor	v.	調味	Lisa _____ the drink with lemon.
flood	n.	水災，洪水	Several houses were carried away by the great _____.
flood	v.	淹水	Many homes were _____ due to the heavy rain.
frequent	adj.	頻繁的	Fred makes _____ visits to Europe because he has business contacts with several European companies.
frequent	v.	常去，常到	My friend and I met at a restaurant _____ by students.
information	n.	資訊，消息	I want a good deal of _____ on this matter to make the decision.
lawn	n.	草地，草坪	Iris is having a picnic on the _____.
medium	adj.	中等的	Allen wears _____-sized pants.
medium	n.	媒介，媒體	The Internet has become a _____ of advertising.
neighborhood	n.	鄰近地區，社區	We live in a quiet _____.
regional	adj.	地區的，區域的	The local people here speak with a _____ accent.
reveal	v.	透露，揭露	Oliver's facial expression _____ that he was lying.
shampoo	n.	洗髮精	Nick often uses moisturizing _____ for his dry hair.
shampoo	v.	洗頭髮	The hairdresser _____ the customer's hair and then blows it dry.
sink	n.	水槽	The dirty plates are piled up in the kitchen _____.
sink	v.	沉沒	The Titanic _____ in the North Atlantic Ocean in 1912.
suffer	v.	受苦，遭受	More and more people are _____ from asthma due to air pollution.
suffering	n.	苦難，痛苦	The medicine relieved the patient's _____, so he feels much better now.
suspect	v.	懷疑	The police _____ the woman of committing the crime.
suspect	n.	嫌疑犯	The man was the main _____ in the case.
suspect	adj.	可疑的	A _____ package was found in the railroad car.
whistle	n.	哨子	The coach blew his _____ to ask the players to run toward him.
whistle	v.	吹口哨	Ken used to _____ his favorite tune on his way to school.
advanced	adj.	先進的，高級的	This is the most _____ jet plane in the world.
armed	adj.	武裝的	The boundary disputes finally led to _____ conflict between the two countries.
assume	v.	假設，認為	The judge must _____ (that) the suspect is innocent until he or she is proven guilty.
attitude	n.	態度	Kevin took an unfriendly _____ toward me.
cable	n.	電纜，電線	The government laid _____ between the two islands.
cable	v.	打電報	Emma's father _____ her some money yesterday.
client	n.	客戶，委託人	The restaurant tried to handle the negative feedback from the _____.
concert	n.	音樂會，演唱會	The queen attended the charity _____ to raise funds for the orphans.
constant	adj.	不斷的，經常的	The children's _____ fighting got on the mother's nerves.
constantly	adv.	不斷地，經常地	Stir the curry _____ or you might burn it.
creature	n.	生物	We should respect all living _____ on Earth.
crown	n.	皇冠	The princess wore a _____ on her head.
crown	v.	為...加冕	Philip was _____ king at the age of 20.
dump	v.	丟棄，隨便扔	Bill _____ his shopping bags on the sofa as soon as he got home.
dump	n.	垃圾場	All the garbage is taken to the _____ in the suburbs.
electricity	n.	電，電力	Wind power can be used to produce _____.
fold	v.	摺疊	Steven _____ up his shirts neatly.
fold	n.	摺痕，皺褶	The bug hid in the _____ of the curtain.
fur	n.	毛，毛皮	The cat's _____ is very soft.
harbor	n.	港口，海港	Some ships came into the _____ to seek shelter during the storm.
harbor	v.	庇護，藏匿	Amy was sued for _____ a criminal.
liberty	n.	自由	People in democratic countries enjoy the _____ of free speech.
microwave	n.	微波爐	It is very convenient to heat up leftovers in the _____.
microwave	v.	微波	Customers in the convenience store _____ the food.
ongoing	adj.	進行中的，持續的	The investigation of gunrunning is _____.
relax	v.	放鬆	Whenever I'm under stress, I'll play the guitar because it _____ me.
roughly	adv.	大約，粗略地	Don't press the button _____. You almost broke it.
signal	n.	號誌，信號	The police officer gave the driver the _____ to stop.
signal	v.	發信號，打信號	The police officer _____ the man to put his hands in the air.
talent	n.	天分，天賦	George has a _____ for ballet.
talented	adj.	有天分的	Miranda is a _____ archer.
tasty	adj.	好吃的，美味的	It's the _____ dish I have ever had!
tourism	n.	觀光業	To boost _____, the authorities have announced that visitors staying less than 90 days in the country do not need a visa.
unique	adj.	獨特的	The travel agency provides customized services that are _____ to your needs.
advise	v.	勸告，建議	I _____ Zoe that she should take a rest.
ash	n.	灰燼	Don't drop cigarette _____ in the trash can. It might cause a fire.
audience	n.	觀眾，聽眾	The talk show has an _____ of several millions every week.
automatic	adj.	自動的	Most convenience stores have _____ doors.
clinic	n.	診所	I have an appointment at the _____ next Friday.
comparison	n.	比較	The teacher asked her students to make a _____ of the two writing styles.
costly	adj.	昂貴的	It would be _____ to buy a house in Taipei.
crew	n.	全體工作人員	The _____ helped the passengers get off the plane after the pilot made an emergency landing.
crop	n.	農作物	The _____ won't survive if there is a drought.
crop	v.	收成	The strawberries haven't _____ as well as last year.
destroy	v.	破壞，摧毀	The historic church was totally _____ in a fire.
edit	v.	編輯	The school newspaper is written and _____ by the students.
exhibition	n.	展覽	A collection of Picasso's paintings will be on _____ in the museum.
forever	adv.	永遠	I will _____ remember the day we met.
hometown	n.	故鄉，家鄉	The young man left his _____ and went to a big city to look for a job.
humor	n.	幽默	My friend has a great sense of _____.
lover	n.	愛人，戀人	There are pairs of _____ celebrating Valentine's Day in the restaurant.
miracle	n.	奇蹟	It was a _____ that the driver wasn't hurt in the car crash.
outer	adj.	外面的，外部的	It is my dream to travel to _____ space someday.
pole	n.	竿子，棍子	Since Willy likes fishing, he has a variety of fishing _____.
remind	v.	提醒，使想起	The old picture _____ me of my childhood.
silk	n.	絲綢	A silkworm is a type of caterpillar which can produce _____.
sufficient	adj.	充足的，足夠的	Do we have _____ time to complete the project?
threaten	v.	威脅，恐嚇	The terrorists _____ to set off the bombs.
traveler	n.	旅客	Lena is a frequent _____ to Paris.
tropical	adj.	熱帶的	People should try hard to protect the _____ rainforests.
agriculture	n.	農業	People in this area depend on _____ for a living.
attractive	adj.	有吸引力的	Everything about the singer is _____ to his loyal fans.
bacon	n.	培根	Please give me a slice of _____.
career	n.	職業，生涯	Pursuing a _____ in medicine, the young doctor committed himself to treating people in the poor village.
clown	n.	小丑	Nancy likes the _____ best at the circus.
clown	v.	扮小丑，開玩笑	My teacher was angry that all the students _____ around in class this morning.
cricket	n.	蟋蟀	Male _____ chirp at night in order to attract female _____.
criminal	adj.	犯罪的	People with a _____ record sometimes find it hard to get a job.
criminal	n.	罪犯	Justice is done when _____ receive the punishment they deserve.
dramatic	adj.	戲劇性的，巨大的	Justin went abroad for only a few months, but you could notice a _____ change in his behavior.
educate	v.	教育	Schools should _____ children about the importance of recycling.
educational	adj.	有教育意義的	A good children's book is not only fun but _____ as well.
expectation	n.	期望，預期	Eric has to study hard to live up to his parents' _____.
expressive	adj.	表達的，表情豐富的	The poem was _____ of the writer's ideas about life.
frank	adj.	坦白的，真誠的	Annie is pretty _____ about her opinions.
frankly	adv.	坦白地	John admitted his mistake _____.
kingdom	n.	王國	The king ruled over a large _____.
lung	n.	肺	Hogan breathed deeply to fill his _____ with fresh air.
motel	n.	汽車旅館	When traveling by car, you can choose a _____, where you can park your car outside the room.
paradise	n.	天堂，樂園	It is generally believed that good people will go to _____ after they die.
political	adj.	政治的	This country has several _____ parties.
politically	adv.	政治上地	Which political party will win the election is a _____ sensitive issue.
prevent	v.	預防，阻止	The heavy rain _____ my brother from going out.
reserve	n.	儲備，保護區	My parents keep a large _____ of water and food for typhoons.
reserve	v.	保留，預訂	Priority seats are _____ for the passengers in need.
reserved	adj.	矜持的，保留的	Helen's new classmate is a very quiet and _____ person.
sorrow	n.	悲傷	A friend is someone that can share your joys and _____.
technical	adj.	技術的，專門的	Josh played the piano with _____ precision but little warmth.
tower	n.	塔，高樓	I got to the top of Tokyo _____ to enjoy the panorama of the city.
tower	v.	高聳，屹立	The new building _____ in front of our house.
urban	adj.	都市的	Fiona cannot stand the hectic pace of _____ life.
wealthy	adj.	富有的	The _____ old man decided to donate all his money to charities.
additional	adj.	額外的，附加的	There will be an _____ charge for overweight baggage when you check in.
additionally	adv.	此外	Terry speaks good English. _____, he can also speak French and German well.
arrest	n.	逮捕	The thief was quickly put under _____.
arrest	v.	逮捕	The police _____ the man for drunken driving.
awful	adj.	糟糕的，可怕的	Ben had to cancel the picnic because of the _____ weather.
awfully	adv.	極其，非常	It's _____ kind of you.
basement	n.	地下室	Mrs. Lin stored the old furniture in the _____ of her house.
cattle	n.	牛群	A herd of _____ is grazing in the field.
complain	v.	抱怨	Mr. Liu often _____ about his monotonous job.
decorate	v.	裝飾	The church is _____ with flowers for the wedding.
decrease	v.	減少	People have to _____ the amount of water they use by 55% because of the worsening drought.
decrease	n.	減少	A gradual _____ in population will bring about an aging society.
designer	n.	設計師	The show features the clothes made by the fashion _____, Jason.
election	n.	選舉	The mayoral _____ will be held tomorrow.
engage	v.	聘用，從事，訂婚	The manager decided to _____ Tom as an office assistant.
engagement	n.	訂婚，約會	I'm going to have a dinner _____ with my old colleague tonight.
engaged	adj.	訂婚的，從事...的	Nancy has got _____ to Mike, her classmate from senior high school.
experiment	n.	實驗	It is in question whether scientists should do _____ on living animals.
experiment	v.	進行實驗	The herbal doctor _____ with all kinds of plants.
faith	n.	信心，信仰	Rita has lost _____ in Christianity since the church scandal erupted.
gap	n.	裂縫，缺口，代溝	The little girl has a _____ between her two front teeth.
majority	n.	大多數	The _____ of the elementary school students take part in after-school programs.
march	n.	遊行，行軍	People held a _____ for freedom.
march	v.	行軍，邁步	The troops are _____ along the street.
mayor	n.	市長	The _____ assured the public that he would do his best to fight crime.
murder	n.	謀殺	A _____ happened in the friendly neighborhood last night.
murder	v.	謀殺	An old lady was _____ by the criminal, who broke into her apartment.
politics	n.	政治	Though both his father and grandfather are legislators, Albert is not interested in entering _____.
pollution	n.	汙染	The water _____ was due to the waste dumped by the factory.
routine	n.	例行公事	Checking emails has become my daily _____.
routine	adj.	例行的	When you apply for a visa, you have to answer some _____ questions.
squeeze	v.	擠壓	Joe _____ toothpaste out from the tube onto his toothbrush.
squeeze	n.	擠壓，緊握	Diana said goodbye to her boyfriend and gave his hand a gentle _____.
territory	n.	領土，領域	The plane was shot down when it overflew enemy _____.
trunk	n.	樹幹，後車廂	Put your baggage in the _____.
variety	n.	多樣化，種類	There is a wide _____ of books available at the bookstore.
athlete	n.	運動員	Only the top _____ in the world can win the gold medals in the Olympic Games.
awkward	adj.	笨拙的，令人尷尬的	The child is still _____ using a knife and fork.
awkwardly	adv.	笨拙地	The lady's uncomfortable shoes made her walk _____.
badly	adv.	嚴重地，非常	Leo was _____ hurt in the car accident.
beneath	prep.	在...下方	To get away from the sunshine, we sat _____ the tree.
collection	n.	收藏品	The baseball fan has a _____ of baseball cards.
cone	n.	圓錐體	The police officer put some traffic _____ on the road to get drivers' attention.
democracy	n.	民主	Some of the _____ still have a royal family.
desire	n.	渴望，慾望	Seeking peace of mind, Rita has no _____ for fame.
desire	v.	渴望，要求	A country that _____ everlasting peace won't launch a war against any other country in the world.
detect	v.	察覺，偵測	My father _____ a gas leak and phoned the emergency number immediately.
elevator	n.	電梯	Take the _____ to the 14th floor.
enjoyable	adj.	令人愉快的	Playing games or watching movies makes a long-distance flight _____.
fearful	adj.	害怕的，擔心的	Gina is _____ of offending her teacher.
gesture	n.	手勢，姿態	After reaching the finish line, John raised his arms in the air in a _____ of victory.
gesture	v.	做手勢	"Leave now," said the guard, _____ at the gate.
impress	v.	使印象深刻	Joan _____ everyone at the party with her beauty.
