單字	詞性	中文解釋	例句
delightful	adj.	令人愉快的	Everyone had a _____ time at the year-end party.
endanger	v.	危害，使處於險境	David _____ed his life by driving recklessly.
entertain	v.	娛樂，招待	Let me _____ you with a song.
frost	n.	霜	Everything outside is covered by _____ in early November.
grammatical	adj.	文法的	Each language has a unique _____ structure.
helicopter	n.	直升機	One _____ was sent to rescue the crew from the sinking ship.
immigrate	v.	移居入境	Bill's father _____d to New Zealand from Germany.
lecture	n.	演講，講課	The scholar is going to give a _____ to the students on biology.
lifeguard	n.	救生員	Upon hearing someone calling for help in the swimming pool, the _____ jumped into the water immediately.
modesty	n.	謙虛	Nick's natural _____ prevented him from being spoilt by fame.
negotiate	v.	談判，協商	The two companies _____d with each other for months before they finally signed a contract.
pasta	n.	義大利麵	You can taste all kinds of _____ and pizza when traveling in Italy.
quilt	n.	被子，拼布被	Several volunteers worked together in the church to make _____s for the homeless.
radar	n.	雷達	The research team is going to set up a _____ system on top of the mountain.
scold	v.	責罵	The mother _____ed her son for making a scene.
skyscraper	n.	摩天大樓	Taipei 101 used to be the tallest _____ in the world.
strive	v.	努力，奮鬥	Though the runner fell, he still _____ to reach the finish line.
tense	adj.	緊張的	You are too _____. Try to relax!
violation	n.	違反	Oliver was in _____ of the company's regulations by copying the files.
assurance	n.	保證	You have my _____ that I'll return the money to you by Friday.
assure	v.	向...保證	The manager can _____ us of Ted's loyalty to the company.
burglar	n.	竊賊	The police believed the _____ broke into the house through the kitchen window.
cliff	n.	懸崖	Waves crashing against the base of a _____ over time can form a sea cave.
consequent	adj.	隨之發生的	The closure of the factory and the _____ loss of jobs have caused many problems.
deadline	n.	截止日期	Reporters always work under pressure to meet the _____.
demonstration	n.	示威，示範	The teacher gave a clear _____ of what should be achieved.
enforce	v.	執行，實施	The government intends to _____ tougher laws to decrease the crime rate.
equip	v.	配備，裝備	The building is fully _____ped with fire safety equipment.
frown	n.	皺眉	The teacher looked at the naughty student with a _____.
graph	n.	圖表	This _____ shows how sharply the city's crime rate has declined.
hive	n.	蜂巢	The naughty boy lit a fire that disturbed the _____, and this caused the bees to attack him.
immigration	n.	移居，移民	Canada has a strict policy on _____ into the country.
lecturer	n.	講師	Max is a _____ in computer engineering at the university.
lipstick	n.	口紅	Sophie applied some _____ as a final touch of her makeup.
mule	n.	騾子	Mr. Chen is as stubborn as a _____.
nightmare	n.	惡夢	Our trip to Rome turned into a _____ after our passports were stolen.
paw	n.	爪子，腳掌	My pet dogs destroyed my new sofa with their dirty _____s.
rage	n.	憤怒，狂暴	Mr. Chang flew into a _____ when he learned that his son had skipped class.
raisin	n.	葡萄乾	My favorite ice cream flavor is rum _____.
settler	n.	移民，拓荒者	The early _____s had a hard time adapting themselves to the new environment.
spear	n.	矛	In ancient times, people fought their enemies with _____s and swords.
stroke	n.	中風，擊，打	The _____ paralyzed the right side of the old man's body.
tickle	v.	搔癢	The woman _____d the baby's feet, and this made him laugh loudly.
voluntary	adj.	自願的	After several hours of internal struggle, the suspect made a _____ confession.
atom	n.	原子	A molecule of carbon dioxide has one carbon _____ and two oxygen atoms.
autograph	n.	簽名	After the death of the celebrity, his _____s become extremely valuable.
cane	n.	手杖，藤條	The old man has to walk with a _____ as he has balance problems.
commit	v.	犯(罪)，承諾	A murder was _____ted on this street last night.
constitution	n.	憲法，構成	The Supreme Court has the authority to interpret the _____.
decoration	n.	裝飾	My sister majors in interior _____.
determination	n.	決心	Tim's _____ to pass the entrance exam made him keep on studying hard.
enlarge	v.	擴大，放大	My parents _____d the photo they liked best and hung it on the wall.
evaluation	n.	評估	The manager will carry out an _____ of the new project.
furnish	v.	佈置(傢俱)	The rented room is well _____ed with a bed, a desk, and a wardrobe.
gratitude	n.	感激	Let me express my deep _____ for your great contribution to this company.
homeland	n.	祖國，故鄉	When the old man returned to his _____ fifty years later, no one recognized him.
impose	v.	強加於	The government _____d a ban on smoking in public places.
lengthen	v.	加長，變長	As summer approaches, the days will _____, and the nights will shorten.
liquor	n.	烈酒	Whiskey and brandy are _____.
murderer	n.	謀殺者，兇手	The police are trying to find out who the _____ is.
nuclear	adj.	核能的，原子核的	The construction of the new _____ power plant caused considerable controversy.
peep	n.	偷看	The teacher took a _____ into the library and found Henry was dozing.
reception	n.	接待，歡迎會	After the wedding, there will be a _____.
reflection	n.	倒影，反映	The queen is looking at her _____ in the mirror.
sew	v.	縫	Rod _____ed a button on his shirt.
splendid	adj.	壯麗的，極好的	The girl exclaimed in amazement when she was looking at the _____ sunset.
sue	v.	控告	Ita _____d her ex-husband for entering her house without permission.
timetable	n.	時刻表	You can find out the times of your bus in that _____.
welfare	n.	福利，幸福	In a divorce case, the _____ of the children would be the top priority.
atomic	adj.	原子的	The United States dropped _____ bombs in Japan during World War II.
bargain	n.	便宜貨，交易	I bought this dress at a clearance sale, and it was a real _____.
capitalist	n.	資本家	Several _____s invested in the business, hoping to make a profit within the next few months.
companion	n.	同伴	The dog is the old man's closest _____.
consultant	n.	顧問	Philip works as a management _____ for the newly established company.
depart	v.	出發，離開	The train will _____ for Rome from Milan in one hour.
dew	n.	露水	The morning _____ gathered on the grass.
exaggerate	v.	誇張，誇大	Don't _____, and just tell me the truth.
explanation	n.	解釋	The student gave an _____ for being late for school this morning.
gaze	n.	凝視	My grandmother looked at me with a steady _____ as if seeing me for the first time.
grave	n.	墳墓	Sue's grandmother has been buried in the _____.
honeymoon	n.	蜜月	The married couple went to Venice on their _____.
impression	n.	印象	Everyone's first _____ of Troy is his friendly smile.
librarian	n.	圖書館員	The _____ can help you find the book you are looking for.
loan	n.	貸款	Mr. Wu took out a _____ in order to buy a new house.
murmur	n.	低語聲	The teacher heard a low _____ from the students.
obtain	v.	獲得	Bonnie managed to _____ a ticket to the concert.
perfume	n.	香水	Sally wore _____ to the party.
recreation	n.	娛樂，休閒	What do you like to do for _____?
register	v.	登記，註冊	You must _____ for the course you want to take.
shade	n.	陰涼處	Andy is reading in the _____ of a big tree.
stingy	adj.	吝嗇的	The rich man is very _____ and never donates money to the charity.
telegraph	n.	電報	People in the past used to send urgent messages by _____.
timid	adj.	膽小的	Clara has been unfairly treated, but she is too _____ to protest.
withdraw	v.	提款，撤退	To repay the debts, I must _____ all my money from the bank account.
accountant	n.	會計師	The rich businessman hires an _____ to take care of his taxes.
attach	v.	附上，貼上	My brother helped me _____ the printer to my desktop computer.
barrier	n.	障礙，柵欄	To bring people of all ages together, we must work hard to remove social _____s.
catalogue	n.	目錄	The goods in the mail-order _____ look fancy.
compose	v.	組成，作曲	A molecule of water is _____d of one oxygen atom and two hydrogen atoms.
continual	adj.	頻頻的，連續不斷的	Your _____ interruptions have ruined my work schedule.
departure	n.	離開，出發	Frank changed his US dollars for euros before his _____ for Paris.
dignity	n.	尊嚴	The tennis player admitted defeat with _____.
exhaust	n.	廢氣	Car _____ fumes are one of the main reasons for air pollution.
extend	v.	延長，延伸	The city government decided to _____ the cycle route.
gear	n.	排檔，齒輪，裝備	Whenever you put the car in _____, it is supposed to start rolling forward or backward.
greasy	adj.	油膩的	The _____ French fries are bad for health.
horizon	n.	地平線，眼界	At dawn, the sun appeared on the _____.
injure	v.	使受傷	Jeremy _____d his foot while playing basketball.
limitation	n.	限制	There are severe _____s on the use of nuclear power in that country.
lobster	n.	龍蝦	The feature of a _____ is its two large claws.
noble	adj.	高尚的，貴族的	The mayor praised the man for his _____ deed.
option	n.	選擇	Due to bad business, the owner had no _____ but to close the grocery store.
philosopher	n.	哲學家	The _____ always talks wisely.
recycle	v.	回收	We have to _____ plastic, cans, and even old clothes to make the most of the resources we have.
registration	n.	登記，註冊	The student _____ form is used to enroll a student who is new to this school.
shady	adj.	陰涼的，成蔭的	We had a long walk under the _____ trees.
stocking	n.	長襪	Fiona is a little girl who is wearing a pair of _____s.
tension	n.	緊張局勢，拉力	Taking a walk can relieve _____ and stress.
tolerant	adj.	寬容的，忍耐的	I am not _____ of racism.
accuse	v.	指控	Gina _____d me of being a liar.
audio	adj.	聽覺的，聲音的	_____ cassettes and videotapes have been replaced by compact discs.
blade	n.	刀片	Watch out for the sharp _____ of the knife. You may hurt yourself.
chemistry	n.	化學	Elsa majors in _____ at college.
composer	n.	作曲家	Mozart is one of the greatest _____s in classical music.
copper	n.	銅	The old woman wears a bracelet made of _____.
devise	v.	設計，發明	To save money, we should _____ a method to cut electricity bills.
diligence	n.	勤勉	Helen showed great _____ in studying French.
expansion	n.	擴張	The rapid _____ of the industrial area causes many traffic problems.
faithful	adj.	忠實的	Terry was overcome with grief because his _____ dog died.
germ	n.	細菌	Wash your hands to kill the _____s before you eat.
grind	v.	磨碎	Tom used a coffee grinder to _____ the coffee.
horrify	v.	使恐懼	The news of her best friend's death _____ied Tina.
inspection	n.	檢查	Movie theaters and restaurants that fail the annual safety _____ will not be allowed to do business.
linen	n.	亞麻布	Shirts made of _____ are cool and comfortable to wear in summer.
loyal	adj.	忠誠的	Duke is very _____ to his friends.
nonsense	n.	胡說八道，廢話	Don't listen to John. He is talking _____.
orbit	n.	軌道	The satellite is in _____ around the Earth.
physicist	n.	物理學家	Mike hopes to become a distinguished _____.
refund	n.	退款	We guarantee _____s if you are not satisfied with our products.
regulate	v.	管理，調節	The laws that _____ the use of food additives have been under discussion recently.
shave	v.	刮(鬍子)	Willy _____d his beard off with an electric razor.
suggestion	n.	建議	My older sister made a valuable _____ about how to keep in shape.
terror	n.	恐懼	Kitty screamed in _____ as if she had seen a ghost.
tomb	n.	墳墓	Not until the _____ of Tutankhamun was discovered did people know more about his life.
acquaintance	n.	相識的人，熟人	Chris is more of an _____ than a friend.
autobiography	n.	自傳	The retired general is composing his _____ to let his descendants know more about his life.
blessing	n.	祝福	My father gave us his _____ for our marriage.
cherish	v.	珍惜	I _____ the memories of my working holiday in Australia.
conference	n.	會議	Last week, I attended a _____ on physics in Paris.
cord	n.	繩，索	The war criminal broke the _____s that were used to bind his hands and feet and managed to escape.
devote	v.	致力於，奉獻	Mother Teresa _____d her life to the poor and the sick in India.
diplomat	n.	外交官	Leo is interested in relations between countries, so he works hard to be a _____.
fantasy	n.	幻想	The poor man has a _____ of getting rich overnight.
farewell	n.	告別	At the end of the party, the host exchanged _____s with the guests.
gigantic	adj.	巨大的	A _____ shopping mall is about to be built in downtown Los Angeles.
halt	n.	停止	The bus suddenly came to a _____ in the middle of the road.
hose	n.	水管	I used a _____ to water the flowers and plants in the yard.
insult	n.	侮辱	It was an _____ that Jimmy didn't come to my grandfather's funeral.
logic	n.	邏輯	Many people don't see the _____ behind the reporter's statement.
measurable	adj.	顯著的，可測量的	There has been a _____ improvement in your work.
nursery	n.	托兒所，苗圃	A _____ provides childcare when both the parents have to work during the day.
orchestra	n.	管弦樂團	My son plays the cello in the _____.
pickle	n.	醃黃瓜，泡菜	I like to have _____s in the sandwiches.
regulation	n.	規定，規則	Under safety _____s, all workers have to be trained to operate the machines.
rejection	n.	拒絕	David has applied for five jobs, but so far he has only received _____s.
sightseeing	n.	觀光，遊覽	When I went to London on business, it was a pity that I didn't have much time for _____.
sway	n.	搖擺，影響	Arthur is under the _____ of his ambitious mother.
translate	v.	翻譯	Jim _____d the book from German into Chinese.
translation	n.	翻譯	I bought a Chinese _____ of a novel by Edgar Allan Poe.
addict	n.	對...上癮的人	John is a television _____.
await	v.	等候	I stayed at the airport and _____ed my sister's arrival.
blink	v.	眨眼	The girl kept _____ing in the bright sunshine.
chew	v.	咀嚼	_____ing food well helps digestion and weight loss.
congress	n.	代表大會，國會	The two doctors met at a medical _____.
cottage	n.	村舍，小屋	To escape the bustle of the city, we stay in our country _____ during the weekends.
diagram	n.	圖解，圖表	Alex drew a _____ of the new machine.
disappoint	v.	使失望	The actress _____ed her fans with her sudden retirement.
fatal	adj.	致命的	A bee sting can be _____ if the victim is allergic.
favorable	adj.	贊成的，有利的	We are applying for a loan and hope for a _____ reply.
giggle	n.	咯咯地笑	On seeing my sister's strange hairstyle, I got the _____s.
haste	n.	匆忙	Our father prepared our breakfast in _____.
housework	n.	家事	My mother was exhausted because she spent the whole afternoon doing _____.
intend	v.	打算	I _____ed to finish the job tonight.
logical	adj.	合乎邏輯的	To be persuasive, you have to offer _____ arguments.
mechanic	n.	技工	My car broke down, so I will have a car _____ fix it tomorrow.
nutritious	adj.	有營養的	A _____ and balanced diet is essential for everyone.
panel	n.	專家小組，面板	A _____ of experts was asked to give advice about the financial problem.
pioneer	n.	先鋒，拓荒者	In the 19th century, many American _____s immigrated to the west to develop new areas.
relaxation	n.	放鬆，消遣	_____ plays an important role in doing yoga.
relevant	adj.	有關的	The key to a successful commercial is to make it _____ to the audience.
sincerity	n.	真誠	The candidate's _____ has deeply impressed me.
systematic	adj.	有系統的	A _____ method will help you work more efficiently.
translator	n.	翻譯人員	The publisher is looking for an experienced _____ to translate this best-seller into Spanish.
tumble	v.	跌倒，滾下	Rebecca lost her balance and _____d down the stairs.
